symbol,close,volume,high,low,open,ema_4,ema_9,ema_18,ema_50,ema_200,above_ema_9,above_ema_50,above_ema_200,ema_trend
NCC,222.98,3053483,223.69,214.09,214.31,221.09,222.74,223.7,223.88,223.65,True,False,False,bearish
ESCORTS,3489.8,194700,3499.7,3410.9,3410.9,3449.53,3431.6,3409.68,3381.77,3364.26,True,True,True,bullish
NAM-INDIA,807.5,840299,812.0,785.1,799.75,811.85,822.78,825.55,821.81,817.23,False,False,False,bearish
OIL,440.7,1537551,442.3,428.5,428.85,438.3,441.23,441.66,440.01,438.28,False,True,True,bearish
ASTRAL,1419.3,475975,1427.5,1407.2,1412.0,1434.02,1455.81,1471.12,1483.62,1489.54,False,False,False,bearish
MRF,149355.0,4513,150220.0,148015.0,148300.0,149074.65,149179.43,149085.28,148734.78,148419.97,True,True,True,bearish
RADICO,2687.1,250733,2731.0,2674.7,2707.6,2698.86,2712.56,2715.37,2709.16,2701.83,False,False,False,bearish
BAJAJHLDNG,14062.0,47610,14117.0,13562.0,13804.0,13971.24,13978.2,13966.74,13926.44,13890.77,True,True,True,bearish
WOCKPHARMA,1697.3,390848,1725.0,1672.7,1691.1,1696.01,1713.31,1722.02,1715.04,1702.92,False,False,False,bearish
NHPC,84.04,7882251,84.35,83.12,83.7,84.4,85.42,86.29,87.05,87.4,False,False,False,bearish
TATAELXSI,6090.5,108186,6106.5,5977.5,6009.5,6101.47,6139.93,6155.88,6152.6,6142.65,False,False,False,bearish
GMRAIRPORT,90.22,7188716,90.71,89.05,89.7,90.45,91.23,91.75,92.11,92.25,False,False,False,bearish
ARE&M,993.0,636722,1001.8,963.45,965.6,990.77,992.0,990.33,987.28,985.25,True,True,True,bearish
PEL,1295.0,487067,1304.3,1275.3,1297.7,1294.88,1290.64,1267.18,1218.29,1179.59,True,True,True,bullish
SHREECEM,30410.0,20699,30710.0,30110.0,30695.0,30854.76,31111.35,31180.74,31188.31,31179.58,False,False,False,bearish
HYUNDAI,2100.7,299078,2105.6,2040.0,2040.5,2090.48,2100.35,2104.85,2102.2,2097.28,True,False,True,bearish
NATCOPHARM,958.5,654958,967.6,934.85,944.9,967.77,985.08,993.55,997.41,998.19,False,False,False,bearish
IOC,147.94,4240012,148.2,146.5,146.5,148.48,149.57,150.47,151.46,152.08,False,False,False,bearish
NYKAA,210.43,2955868,211.8,206.94,208.0,211.69,213.7,215.09,216.3,216.92,False,False,False,bearish
KPITTECH,1218.4,504050,1227.5,1188.1,1192.8,1223.09,1239.73,1249.56,1253.83,1253.7,False,False,False,bearish
HSCL,486.5,1261123,492.5,478.4,483.4,492.72,500.68,505.29,508.41,509.66,False,False,False,bearish
CHAMBLFERT,532.7,1142201,534.95,524.9,528.85,537.43,543.05,546.24,548.78,550.13,False,False,False,bearish
NBCC,109.57,5523420,110.05,107.15,108.0,110.26,111.72,112.7,113.48,113.84,False,False,False,bearish
SWSOLAR,290.4,2043286,291.5,279.15,284.9,292.46,302.23,313.24,325.95,333.6,False,False,False,bearish
MOTHERSON,102.59,5756095,102.69,101.0,101.88,101.72,101.39,101.53,101.92,102.22,True,True,True,bullish
NEULANDLAB,13840.0,42514,13965.0,13653.0,13945.0,13849.48,13815.68,13488.14,12746.42,12141.79,True,True,True,bullish
BHARATFORG,1220.4,478123,1223.5,1185.0,1188.5,1209.85,1213.28,1218.95,1227.0,1232.53,True,False,False,bearish
OFSS,8664.5,67051,8720.0,8580.0,8681.0,8697.42,8729.91,8747.89,8763.66,8773.16,False,False,False,bearish
HINDZINC,437.4,1325115,438.0,430.6,432.0,437.87,438.06,435.08,429.16,424.68,False,True,True,bearish
JUBLFOOD,652.65,868584,658.0,640.25,645.95,652.88,661.17,670.23,680.11,685.83,False,False,False,bearish
ENGINERSIN,216.54,2605197,219.14,213.81,216.0,223.02,230.56,237.16,244.3,248.52,False,False,False,bearish
REDINGTON,287.9,1944094,297.1,284.45,286.05,292.55,297.99,300.02,299.53,298.22,False,False,False,bearish
MANAPPURAM,258.85,2068632,261.45,256.85,258.25,262.75,265.75,266.59,266.29,265.76,False,False,False,bearish
IRCON,180.96,2942156,182.6,174.08,175.4,181.31,184.4,187.39,190.75,192.79,False,False,False,bearish
NUVAMA,7210.0,73577,7310.5,7136.0,7278.0,7348.88,7461.67,7479.79,7437.65,7392.75,False,False,False,bearish
LLOYDSME,1484.1,354952,1496.6,1451.0,1468.2,1492.36,1499.68,1504.28,1512.44,1519.4,False,False,False,bearish
KEI,3922.0,130692,3943.8,3860.0,3932.1,3916.31,3903.44,3857.3,3777.45,3720.18,True,True,True,bullish
ICICIGI,1915.5,258618,1918.3,1891.9,1898.2,1917.07,1932.11,1951.52,1975.01,1989.16,False,False,False,bearish
BAJAJHFL,115.92,4246325,116.27,114.59,115.0,117.0,118.74,119.93,120.94,121.44,False,False,False,bearish
JINDALSTEL,984.35,499540,989.0,973.0,975.0,983.99,975.58,964.86,953.27,946.9,True,True,True,bullish
ABFRL,75.27,6493424,75.92,73.23,73.31,74.7,75.16,75.9,76.95,77.67,True,False,False,bearish
