symbol,reason,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr
BLUEDART,ranked,0.3347,6506.0,6940.0,6.25,7.53,0.79,0.37,False,False,False,False,16.52
BLUESTARCO,ranked,0.1855,1743.0,1922.4,9.33,11.61,0.95,0.46,False,False,True,False,141.74
BOSCHLTD,ranked,0.4613,40090.0,40120.0,0.07,8.97,1.32,0.95,True,True,False,False,210.94
BPCL,ranked,0.4186,335.05,351.7,4.73,6.18,0.77,0.7,True,True,True,True,220.54
BRIGADE,ranked,0.0607,1015.7,1142.0,11.06,14.58,0.91,1.31,False,False,False,False,44.72
BRITANNIA,ranked,0.3199,5650.0,5860.0,3.58,5.13,0.9,0.99,False,True,False,True,138.17
BSE,ranked,0.3665,2485.0,2585.0,3.87,7.81,0.8,0.43,False,True,False,True,1377.31
BSOFT,ranked,0.0729,410.05,436.4,6.04,13.27,1.02,0.99,False,False,False,False,56.16
CAMPUS,ranked,0.1505,273.3,304.4,10.22,13.3,1.27,0.3,False,False,False,False,29.87
CAMS,ranked,0.1946,3916.0,4289.0,8.7,10.65,0.87,0.65,False,False,False,False,128.68
CANBK,ranked,0.1058,110.15,117.5,6.26,10.17,1.15,1.62,False,True,True,False,298.46
CANFINHOME,ranked,0.1446,747.9,823.9,9.22,10.63,0.94,0.86,False,False,False,False,18.98
CAPLIPOINT,ranked,0.3357,2088.0,2150.3,2.9,7.15,0.76,0.51,False,False,False,False,12.53
CARBORUNIV,ranked,0.1615,930.0,1004.6,7.43,8.97,0.9,1.06,False,False,False,False,12.56
CASTROLIND,ranked,0.2897,222.45,232.43,4.29,6.65,1.02,0.79,True,False,False,True,69.31
CCL,ranked,0.3745,869.0,907.0,4.19,9.71,0.93,0.23,True,True,False,False,18.69
CDSL,ranked,0.1469,1542.1,1753.9,12.08,15.41,0.92,0.67,False,False,False,False,505.67
CEATLTD,ranked,0.0631,3353.0,4044.0,17.09,23.0,1.17,1.16,False,True,False,True,83.36
CENTRALBK,below_price_floor,,36.97,,,,,,,,,,
CENTURYPLY,below_traded_value,,,,,,,,,,,,4.67
CERA,ranked,0.2226,6480.5,7100.0,8.73,10.42,0.92,0.45,False,False,False,True,28.95
CESC,ranked,0.4386,177.8,183.0,2.84,6.1,0.82,0.6,True,True,False,False,54.13
